Hostname,IP,URL,CPU,RAM,Hard Disk,OS,Monitoraggio,Ambiente,Ruolo,ID CI,Stato,Porta,Protocollo,Funzione,Localizzazione,Priorità,Versione OS,Backup,Firewall,Note
Server-134,10.0.0.204,N/A,2 vCPUs,64 GB,512 GB SSD,Debian 10,Prometheus,Prod,kube-master,2ba19898-94bc-4235-8c07-07379036e0a9,Inattivo,443,HTTP,Test,Data Center 1,Alta,Latest,Sì,Sì,Generato automaticamente
Firewall-135,10.0.0.241,N/A,8 vCPUs,32 GB,1024 GB SSD,Ubuntu 20.04,Nagios,Prod,docker-swarm,57badbc1-6f92-4475-aa8b-3d27b30d81ef,Attivo,443,SSH,Produzione,Data Center 1,Alta,Old,No,Sì,Generato automaticamente
Firewall-136,172.16.0.241,N/A,4 vCPUs,8 GB,1024 GB SSD,Debian 10,CheckMK,Prod,ml,9e18310f-774e-451c-bead-14c78e310fbe,Attivo,22,HTTP,Sviluppo,Data Center 2,Alta,Old,Sì,No,Generato automaticamente
Server-137,192.168.1.140,N/A,4 vCPUs,8 GB,1024 GB SSD,CentOS 8,Prometheus,Prod,router,230ad46b-2ac3-4de2-aa40-8d3775dd714f,Attivo,443,HTTP,Produzione,Data Center 1,Bassa,Latest,No,Sì,Generato automaticamente
Gateway-138,192.168.1.117,N/A,16 vCPUs,8 GB,512 GB SSD,Ubuntu 20.04,Nagios,Test,kube-master,960fbfea-cfa2-441f-9bbd-235e9d155677,Attivo,443,HTTPS,Sviluppo,Data Center 2,Alta,Latest,Sì,No,Generato automaticamente
Firewall-139,10.0.1.149,N/A,16 vCPUs,32 GB,1024 GB SSD,Windows Server 2019,Prometheus,Test,kube-node,0ca39054-da86-4659-a1b2-b3aca41edc9c,Attivo,80,SSH,Produzione,Data Center 2,Bassa,Stable,No,No,Generato automaticamente
Router-140,172.16.0.36,N/A,16 vCPUs,8 GB,1024 GB SSD,Windows Server 2019,Prometheus,Test,independent,e6a008a0-340b-4f34-9f4f-011fe8c5c365,Attivo,443,HTTP,Sviluppo,Data Center 2,Bassa,Old,No,No,Generato automaticamente
Server-141,10.0.0.128,N/A,4 vCPUs,32 GB,1024 GB SSD,Debian 10,CheckMK,Test,gateway,780ef4f3-b898-44ba-95f2-cfd39563e56c,Attivo,80,HTTP,Sviluppo,Data Center 1,Alta,Latest,No,Sì,Generato automaticamente
Gateway-142,10.0.1.231,N/A,16 vCPUs,16 GB,1024 GB SSD,Ubuntu 20.04,Prometheus,Prod,web,9bdf6a9d-aa37-4fbf-9320-0e9bdb697a55,Inattivo,22,SSH,Produzione,Data Center 1,Alta,Latest,No,Sì,Generato automaticamente
Gateway-143,192.168.1.253,N/A,16 vCPUs,64 GB,512 GB SSD,CentOS 8,Prometheus,Dev,independent,9d325f90-2843-4a1f-9613-34f007a43afa,Inattivo,443,SSH,Produzione,Data Center 1,Alta,Stable,Sì,Sì,Generato automaticamente
Router-144,10.0.1.116,N/A,4 vCPUs,64 GB,256 GB SSD,Ubuntu 20.04,CheckMK,Dev,gateway,fc0761be-0674-4a07-83a3-d5bcb0d43b49,Inattivo,80,HTTP,Test,Data Center 1,Media,Latest,Sì,No,Generato automaticamente
Gateway-145,10.0.0.5,N/A,8 vCPUs,64 GB,512 GB SSD,Debian 10,Prometheus,Dev,dev,34f1c1b3-041e-4de8-a79e-fbef1b867121,Inattivo,80,HTTPS,Test,Data Center 2,Alta,Old,No,Sì,Generato automaticamente
VM-146,10.0.1.195,N/A,16 vCPUs,8 GB,512 GB SSD,Windows Server 2019,Prometheus,Prod,dev,3439774b-9947-48e6-b77c-0674cdd0fcf7,Inattivo,443,HTTP,Sviluppo,Data Center 1,Bassa,Old,No,Sì,Generato automaticamente
Router-147,10.0.1.200,N/A,8 vCPUs,64 GB,256 GB SSD,Debian 10,Prometheus,Dev,oracle-db,b4ac2fd0-d0bc-4395-a595-b2dedac4f3b6,Attivo,80,HTTP,Sviluppo,Data Center 2,Bassa,Old,Sì,Sì,Generato automaticamente
Server-148,10.0.0.174,N/A,2 vCPUs,32 GB,256 GB SSD,Debian 10,Nagios,Dev,gateway,95bd9b4d-306a-4a1c-ae29-bc6f1577370e,Attivo,80,HTTP,Produzione,Data Center 1,Media,Latest,Sì,No,Generato automaticamente
VM-149,10.0.1.250,N/A,8 vCPUs,8 GB,1024 GB SSD,Ubuntu 20.04,Prometheus,Dev,docker-swarm,d88802bd-1e25-41e9-84c0-d4217d6eebed,Attivo,22,SSH,Produzione,Data Center 1,Media,Stable,Sì,No,Generato automaticamente
Server-150,10.0.0.217,N/A,8 vCPUs,32 GB,256 GB SSD,Windows Server 2019,Prometheus,Prod,docker-swarm,8e3c747d-7e98-41e6-8f6b-8546b9063123,Inattivo,443,HTTP,Sviluppo,Data Center 2,Alta,Stable,No,Sì,Generato automaticamente
Firewall-151,192.168.1.207,N/A,16 vCPUs,8 GB,1024 GB SSD,Windows Server 2019,Nagios,Test,router,b6d54134-a987-48c9-9d04-3563e07ae16c,Attivo,22,SSH,Sviluppo,Data Center 1,Bassa,Stable,Sì,No,Generato automaticamente
VM-152,10.0.1.132,N/A,2 vCPUs,8 GB,1024 GB SSD,CentOS 8,Prometheus,Test,docker-swarm,dd2ee089-2396-4cca-a796-e2fbad70ba55,Attivo,80,HTTP,Sviluppo,Data Center 1,Alta,Stable,No,No,Generato automaticamente
Gateway-153,172.16.0.130,N/A,16 vCPUs,64 GB,1024 GB SSD,Debian 10,CheckMK,Test,kube-master,c5bb3ded-13f0-4d63-966a-b6438d5417bd,Attivo,22,HTTP,Test,Data Center 2,Media,Old,Sì,No,Generato automaticamente
Server-154,192.168.1.197,N/A,8 vCPUs,16 GB,256 GB SSD,Debian 10,CheckMK,Prod,monitor,26fd7f5f-b289-49d6-888b-2c4c10ce0eed,Inattivo,80,HTTP,Produzione,Data Center 1,Media,Old,Sì,Sì,Generato automaticamente
Firewall-155,10.0.0.156,N/A,4 vCPUs,16 GB,256 GB SSD,Ubuntu 20.04,Nagios,Dev,monitor,896fad41-940f-412b-9342-2a31b573b82d,Inattivo,443,HTTPS,Produzione,Data Center 2,Media,Old,No,Sì,Generato automaticamente
VM-156,192.168.1.236,N/A,2 vCPUs,16 GB,1024 GB SSD,Windows Server 2019,Prometheus,Dev,oracle-db,84edf5e6-47b2-43b2-9d8d-641efe8b5c60,Attivo,80,HTTPS,Sviluppo,Data Center 1,Bassa,Old,No,Sì,Generato automaticamente
Firewall-157,10.0.1.122,N/A,2 vCPUs,64 GB,512 GB SSD,Ubuntu 20.04,Nagios,Dev,independent,f7dbe10c-778d-4557-acde-6f38dc6c43da,Inattivo,443,HTTP,Sviluppo,Data Center 1,Media,Latest,No,No,Generato automaticamente
Gateway-158,192.168.1.189,N/A,2 vCPUs,8 GB,256 GB SSD,Debian 10,Prometheus,Dev,independent,37dd6191-b2bd-4257-9ef2-724e79467cc1,Attivo,22,HTTPS,Produzione,Data Center 1,Media,Old,No,Sì,Generato automaticamente
Router-159,172.16.0.94,N/A,4 vCPUs,8 GB,512 GB SSD,Debian 10,Nagios,Prod,router,9c0fdb45-1f15-462b-ba28-839af13801c9,Inattivo,80,SSH,Test,Data Center 2,Bassa,Old,No,Sì,Generato automaticamente
Firewall-160,172.16.0.125,N/A,4 vCPUs,16 GB,1024 GB SSD,Ubuntu 20.04,Prometheus,Test,dev,f66ee389-b04d-45e2-b7c4-e80d59399ba0,Attivo,443,HTTPS,Test,Data Center 2,Alta,Latest,No,Sì,Generato automaticamente
Gateway-161,10.0.1.218,N/A,4 vCPUs,8 GB,1024 GB SSD,Debian 10,Prometheus,Test,kube-node,c4083b00-7eed-4bc5-93f0-eea63ffdb687,Attivo,80,SSH,Test,Data Center 1,Alta,Old,No,No,Generato automaticamente
Firewall-162,10.0.1.187,N/A,8 vCPUs,8 GB,256 GB SSD,CentOS 8,Prometheus,Dev,oracle-db,01e6f9a5-9d14-4a38-ab00-7c115239c6ed,Attivo,443,SSH,Produzione,Data Center 1,Media,Stable,No,Sì,Generato automaticamente
Router-163,172.16.0.191,N/A,8 vCPUs,64 GB,256 GB SSD,Debian 10,Prometheus,Dev,router,79428850-e855-43ef-bfd5-67f803eaa404,Attivo,443,HTTPS,Sviluppo,Data Center 2,Bassa,Old,Sì,Sì,Generato automaticamente
Firewall-164,10.0.1.72,N/A,2 vCPUs,8 GB,512 GB SSD,Windows Server 2019,Nagios,Dev,oracle-db,30ee049c-62fa-4c20-a20c-ae53eab4911d,Inattivo,443,HTTP,Sviluppo,Data Center 2,Alta,Old,Sì,No,Generato automaticamente
VM-165,10.0.0.93,N/A,2 vCPUs,8 GB,1024 GB SSD,CentOS 8,Nagios,Prod,dev,51543efa-a32e-4206-a3b0-97aab470c671,Attivo,22,HTTPS,Test,Data Center 2,Bassa,Latest,Sì,No,Generato automaticamente
Firewall-166,10.0.0.6,N/A,16 vCPUs,32 GB,1024 GB SSD,Debian 10,CheckMK,Test,monitor,ce615960-1cc8-44e6-9617-86c53dfcaf94,Inattivo,80,HTTPS,Sviluppo,Data Center 2,Media,Stable,No,Sì,Generato automaticamente
Router-167,10.0.0.6,N/A,8 vCPUs,16 GB,256 GB SSD,Windows Server 2019,Prometheus,Dev,oracle-db,78b06015-00d1-4501-b3ee-ad11daab8530,Inattivo,22,HTTPS,Test,Data Center 1,Bassa,Latest,Sì,No,Generato automaticamente
Firewall-168,10.0.0.99,N/A,4 vCPUs,8 GB,1024 GB SSD,Debian 10,Prometheus,Prod,router,b86e2421-2dc4-48ae-8a90-41cf27497973,Attivo,80,SSH,Sviluppo,Data Center 1,Bassa,Stable,Sì,Sì,Generato automaticamente
Router-169,10.0.1.48,N/A,4 vCPUs,16 GB,256 GB SSD,Ubuntu 20.04,Nagios,Dev,ml,4cdcaa9e-db4f-4895-bba7-52f20e9cab4d,Inattivo,22,HTTPS,Test,Data Center 2,Media,Stable,Sì,Sì,Generato automaticamente
VM-170,10.0.0.115,N/A,4 vCPUs,32 GB,512 GB SSD,CentOS 8,CheckMK,Test,independent,7ed7c448-5024-4d0e-854f-43f07b317972,Attivo,443,HTTP,Sviluppo,Data Center 2,Bassa,Latest,Sì,No,Generato automaticamente
VM-171,10.0.1.7,N/A,8 vCPUs,16 GB,512 GB SSD,Windows Server 2019,CheckMK,Test,ml,aa0c6bc9-78d3-4e5f-abab-4261aeaeb24e,Inattivo,22,HTTPS,Sviluppo,Data Center 2,Media,Old,Sì,No,Generato automaticamente
VM-172,10.0.0.150,N/A,16 vCPUs,64 GB,256 GB SSD,Debian 10,Nagios,Prod,independent,0eb09147-ee58-47fa-b5c5-713967ebf602,Attivo,22,SSH,Test,Data Center 1,Media,Stable,No,No,Generato automaticamente
Firewall-173,192.168.1.85,N/A,4 vCPUs,64 GB,256 GB SSD,Windows Server 2019,Prometheus,Prod,router,d565d359-bbdf-463c-9b85-dad71707f392,Attivo,22,HTTPS,Test,Data Center 1,Bassa,Stable,Sì,Sì,Generato automaticamente
Gateway-174,192.168.1.124,N/A,4 vCPUs,64 GB,512 GB SSD,CentOS 8,Prometheus,Test,monitor,ce8d40a3-07a8-4ad5-b92b-b057cdd24751,Inattivo,22,HTTP,Test,Data Center 1,Media,Old,Sì,Sì,Generato automaticamente
VM-175,10.0.0.25,N/A,4 vCPUs,8 GB,512 GB SSD,Ubuntu 20.04,Prometheus,Dev,kube-node,171149af-fedf-43ec-800a-b19ff6b2ddfd,Inattivo,22,HTTP,Test,Data Center 1,Media,Old,Sì,No,Generato automaticamente
Firewall-176,10.0.1.225,N/A,16 vCPUs,8 GB,256 GB SSD,Windows Server 2019,CheckMK,Dev,independent,f7cbd7e6-1796-4334-94eb-94b0849b396f,Inattivo,80,SSH,Test,Data Center 2,Alta,Stable,Sì,No,Generato automaticamente
Server-177,10.0.1.16,N/A,4 vCPUs,16 GB,256 GB SSD,Windows Server 2019,Prometheus,Dev,kube-master,c6810dd4-21d0-49d8-9b59-13bb30b0ea62,Inattivo,80,SSH,Produzione,Data Center 1,Alta,Old,No,Sì,Generato automaticamente
Gateway-178,172.16.0.247,N/A,4 vCPUs,16 GB,256 GB SSD,Debian 10,Prometheus,Dev,kube-master,5fb06351-05e2-43da-9739-b642b0814318,Attivo,443,HTTP,Test,Data Center 1,Bassa,Latest,No,Sì,Generato automaticamente
Server-179,10.0.1.129,N/A,4 vCPUs,64 GB,512 GB SSD,Windows Server 2019,CheckMK,Test,oracle-db,05f3c3eb-5acd-494e-8044-221c9c72fa9a,Inattivo,443,SSH,Produzione,Data Center 1,Alta,Stable,Sì,No,Generato automaticamente
Router-180,10.0.1.192,N/A,4 vCPUs,16 GB,1024 GB SSD,Debian 10,Nagios,Test,gateway,a41e8d5e-7207-4432-9376-b133515810de,Inattivo,22,SSH,Produzione,Data Center 1,Alta,Latest,No,Sì,Generato automaticamente
Router-181,10.0.1.144,N/A,2 vCPUs,16 GB,256 GB SSD,Windows Server 2019,Prometheus,Dev,monitor,6196d702-149d-46ac-90d4-bd4af92e0b6b,Inattivo,22,HTTP,Test,Data Center 2,Alta,Stable,Sì,No,Generato automaticamente
Firewall-182,172.16.0.60,N/A,8 vCPUs,32 GB,256 GB SSD,Ubuntu 20.04,Prometheus,Prod,independent,9f9cd40e-aa1b-464f-8ea9-0a76c2c7ebfa,Inattivo,80,SSH,Sviluppo,Data Center 2,Bassa,Old,Sì,Sì,Generato automaticamente
Gateway-183,10.0.0.232,N/A,2 vCPUs,8 GB,256 GB SSD,Ubuntu 20.04,Prometheus,Test,kube-master,6408bf7b-80ff-4eb2-9f19-9fe10f141503,Attivo,22,HTTPS,Test,Data Center 2,Bassa,Latest,No,Sì,Generato automaticamente
Gateway-184,10.0.1.132,N/A,8 vCPUs,32 GB,256 GB SSD,CentOS 8,Nagios,Dev,independent,4526f645-7024-460a-9f54-8c544f94fb2b,Inattivo,22,HTTP,Test,Data Center 2,Alta,Stable,Sì,No,Generato automaticamente
Server-185,10.0.0.5,N/A,16 vCPUs,64 GB,1024 GB SSD,CentOS 8,CheckMK,Prod,kube-master,66ae3120-fefc-4bcc-8476-9ec42fe76a07,Inattivo,443,HTTP,Sviluppo,Data Center 2,Media,Old,No,No,Generato automaticamente
Server-186,10.0.0.173,N/A,2 vCPUs,8 GB,512 GB SSD,Debian 10,Nagios,Dev,router,b3ffa3cf-29f5-4d66-8854-94e685cb4653,Attivo,22,HTTPS,Test,Data Center 1,Alta,Stable,No,No,Generato automaticamente
Firewall-187,172.16.0.205,N/A,8 vCPUs,64 GB,1024 GB SSD,CentOS 8,CheckMK,Prod,independent,4e8de66a-2cb6-469c-bbf1-2e0772c0884f,Attivo,22,SSH,Produzione,Data Center 2,Bassa,Old,Sì,Sì,Generato automaticamente
Firewall-188,172.16.0.39,N/A,8 vCPUs,32 GB,256 GB SSD,Windows Server 2019,Nagios,Dev,web,8d8039f3-5f6b-4727-9eb3-aee5081725df,Attivo,22,HTTPS,Sviluppo,Data Center 1,Bassa,Stable,Sì,No,Generato automaticamente
Firewall-189,172.16.0.219,N/A,16 vCPUs,32 GB,512 GB SSD,CentOS 8,Prometheus,Dev,independent,327fb0e6-f191-4607-a94a-a09f3688674e,Inattivo,22,SSH,Sviluppo,Data Center 2,Media,Stable,No,Sì,Generato automaticamente
Firewall-190,192.168.1.22,N/A,8 vCPUs,8 GB,256 GB SSD,Windows Server 2019,CheckMK,Prod,kube-master,e8ae46a2-1e15-4ee4-8cd3-e4cc628afdea,Attivo,80,HTTPS,Sviluppo,Data Center 2,Bassa,Stable,No,Sì,Generato automaticamente
Router-191,10.0.1.63,N/A,4 vCPUs,32 GB,1024 GB SSD,CentOS 8,Prometheus,Dev,router,589697d3-e1a4-49f5-b14b-d716f6c9df3a,Inattivo,443,HTTP,Produzione,Data Center 1,Media,Latest,Sì,Sì,Generato automaticamente
Gateway-192,10.0.0.185,N/A,8 vCPUs,32 GB,512 GB SSD,CentOS 8,Prometheus,Test,dev,60756ba7-5d0b-4c66-8376-66f8bb72217d,Inattivo,80,HTTP,Test,Data Center 2,Alta,Old,Sì,No,Generato automaticamente
Router-193,192.168.1.74,N/A,4 vCPUs,64 GB,256 GB SSD,Debian 10,CheckMK,Dev,independent,e7dc66ad-0822-40a1-b7fc-1b35e961dc13,Inattivo,80,HTTP,Test,Data Center 2,Alta,Old,No,Sì,Generato automaticamente
Firewall-194,172.16.0.122,N/A,4 vCPUs,16 GB,256 GB SSD,Windows Server 2019,Nagios,Prod,test,9d8ca7db-b635-4e68-9195-d62ab66c64e8,Inattivo,80,HTTP,Produzione,Data Center 1,Bassa,Stable,Sì,No,Generato automaticamente
Router-195,10.0.1.194,N/A,16 vCPUs,32 GB,512 GB SSD,Windows Server 2019,CheckMK,Dev,dev,799fb523-30f7-4b11-8d93-91e11533678f,Inattivo,443,HTTPS,Sviluppo,Data Center 1,Media,Stable,Sì,Sì,Generato automaticamente
VM-196,10.0.1.139,N/A,8 vCPUs,64 GB,256 GB SSD,CentOS 8,CheckMK,Test,test,e5ee4ec5-a48a-4cd2-8953-f746a19040e8,Inattivo,22,SSH,Test,Data Center 2,Bassa,Stable,Sì,No,Generato automaticamente
Router-197,172.16.0.166,N/A,8 vCPUs,32 GB,512 GB SSD,Windows Server 2019,Prometheus,Dev,web,9bc7d91a-38f2-48ff-ac90-85a1698debae,Attivo,80,HTTP,Sviluppo,Data Center 1,Alta,Old,No,Sì,Generato automaticamente
Server-198,172.16.0.173,N/A,2 vCPUs,16 GB,512 GB SSD,CentOS 8,Nagios,Dev,test,07754116-7216-449f-910e-dbaf989270f7,Attivo,443,HTTPS,Test,Data Center 2,Bassa,Stable,No,Sì,Generato automaticamente
Server-199,10.0.0.150,N/A,2 vCPUs,8 GB,256 GB SSD,Ubuntu 20.04,CheckMK,Prod,router,c058b394-52e3-4cb2-862c-d39118651bd8,Attivo,80,HTTPS,Test,Data Center 1,Alta,Latest,No,No,Generato automaticamente
Server-200,172.16.0.146,N/A,2 vCPUs,64 GB,1024 GB SSD,Ubuntu 20.04,Prometheus,Dev,router,d856a5da-6ee2-4ada-aaaa-9095afe7dd4e,Attivo,443,HTTPS,Test,Data Center 2,Media,Old,No,Sì,Generato automaticamente
